"Start.date","SI"
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,0
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-09-20,1
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
2011-10-04,0
